ID,Title,Status,Owner,Authoring Company,Last Modified On,Published Channels,Expiry Date
"UC10000577","Find High-Potential Accounts and White-Space Opportunities with your SAP Data","Draft","Jasmin Benz","Modelyzr","May 27, 2026","",""
"UC10000579","Implement Next generation SAP Ariba as a Strategic Partner","Draft","Gisele Soares","SAP","May 27, 2026","",""
"UC10000574","CAPGEMINI: Agentic solution that incentivizes early payment, rationalizes credit PAYMENT TERMS AGENT","Draft","Jaakko Kairamo","SAP","May 27, 2026","",""
"UC00004091","Synchronize Account Data Between SAP S/4HANA and Third-Party CRM","Published","Swati Singh","Rojo","May 27, 2026","Content Discovery, Discovery Center","Jan 7, 2027"
"UC10000445","Extend SAP Cloud ERP with integrated on-stack and side-by-side extensibility option","Published","Swathy S","SAP","May 27, 2026","Content Discovery, Discovery Center","May 26, 2027"
"UC10000447","Leverage Spend Data Model in SAP Datasphere","Draft","Swen Fuchs","SAP","May 26, 2026","","Jun 27, 2026"
"UC10000542","Modernize Your Integrations from SAP PI/PO to SAP Integration Suite","In Review","Joanne Koh-Stewart","SAP","May 26, 2026","",""
"UC10000567","Test Bettina","Draft","Bettina Mussgnug","SAP","May 26, 2026","",""
"UC00004133","Extract SAP Ariba Cloud Services data through standard APIs","Published","Swen Fuchs","SAP","May 26, 2026","Content Discovery, Discovery Center","Feb 4, 2027"
"UC10000576","Get started with SAP Build - Copy","Draft","Kimay Ramnarain","SAP","May 26, 2026","",""
"UC10000394","How to Use Integration Suite as a Data Provider for Signavio Process Intelligence","Draft","Jonas Germann","SAP","May 26, 2026","",""
"UC10000526","Enhance SAP Joule for Consultants with Custom Knowledge Grounding","In Review","Hartmut Straub","SAP","May 25, 2026","",""
"UC10000549","AI-Powered Procurement Bidding Evaluation","In Review","Jacky Liu","SAP","May 22, 2026","",""
"UC10000578","Get started with SAP Integration Suite, advanced event mesh - COPY- Copy","Draft","Mark Buchakjian","SAP","May 22, 2026","",""
"UC10000575","Custom AI Application with ISLM In BTP ABAP For SAP S/4","In Review","Jacky Liu","SAP","May 21, 2026","",""
"UC10000568","Establish a Central Entry Point with SAP Build Work Zone","Draft","Kimay Ramnarain","SAP","May 20, 2026","",""
"UC10000572","Set Up SAP AI Core Generative AI Hub - Copy","Draft","Kimay Ramnarain","SAP","May 20, 2026","",""
"UC10000570","Enterprise Automation with Business Events","Draft","Kimay Ramnarain","SAP","May 20, 2026","",""
"UC10000398","Building Intelligent Data Applications with SAP HANA Cloud Knowledge Graphs","Published","Vivek RR","SAP","May 20, 2026","Discovery Center","May 20, 2027"
